Parameter,Model,Train_R2,Test_R2,Train_MAE,Test_MAE,Train_RMSE,Test_RMSE,Overfitting
lambda2,NeuralNet,0.0267067306540969,-2.166503961913754,0.014676353780144475,0.023835854747583048,0.018482607576740268,0.03268136648837775,2.1932106925678507
lambda2,ElasticNet,0.0,-0.00029599838445126814,0.013215031710951262,0.013173736101631636,0.018734468759451468,0.01836853224619063,0.00029599838445126814
lambdaR1,XGBoost,0.9979446936007774,0.9753969018347647,0.00020613845076051368,0.0005316259091424595,0.00027450501967389487,0.0009352264019334358,0.022547791766012737
lambdaR1,LightGBM,0.9983178166225348,0.9843913489764569,0.0001668922982222059,0.00044739997269165543,0.00024834114083466333,0.000744911269101978,0.013926467646077967
lambdaR1,CatBoost,0.9981720473293938,0.9931116168374123,0.00018468763499336676,0.0002924683381150271,0.00025887760176900943,0.0004948578993354779,0.00506043049198146
lambdaR1,RandomForest,0.9866691167347226,0.9473919818581578,0.00044197339289082314,0.0008535774580974241,0.0006991034832706282,0.0013675645346486426,0.03927713487656481
lambdaR1,ExtraTrees,0.9873359724079908,0.9386433321562029,0.0005143239342393273,0.0009199815991652228,0.0006813934073050355,0.0014769056160540428,0.04869264025178788
lambdaR1,SVR,-11.067409013623786,-11.40663077887245,0.020272418435800736,0.020255651026860774,0.0210338619766907,0.021001426168626786,0.33922176524866465
lambdaR1,NeuralNet,-6.318875359465403,-20.982216586119627,0.013040093807568496,0.020610169753129567,0.01638076495967327,0.027954877935100084,14.663341226654225
lambdaR1,ElasticNet,0.0,-1.0932791609796766e-06,0.0045807689769432405,0.004466305400536898,0.0060549701052556295,0.0059624135662827826,1.0932791609796766e-06
lambdaR2,XGBoost,0.9970402236594967,0.9657728066216242,0.00015724724172802424,0.00036642973177533844,0.00021353250521357462,0.0007124575013155852,0.0312674170378725
lambdaR2,LightGBM,0.9986824914341855,0.9771129810704626,9.91816233715078e-05,0.0003090335943164504,0.0001424660134836193,0.0005825965835977594,0.0215695103637229
