Parameter_Set,Eigenvalue_Index,Real_Part,Imaginary_Part,Magnitude,Stable
1,1,-0.10309177955747373,0.0,0.10309177955747373,True
1,2,-31.893987388086188,0.0,31.893987388086188,True
1,3,-0.576080592125378,0.0,0.576080592125378,True
1,4,-0.19027305925740823,0.0,0.19027305925740823,True
1,5,-0.1380303069677107,0.0,0.1380303069677107,True
1,6,-0.09780687450651163,0.0,0.09780687450651163,True
1,7,-0.07292850803754392,0.0,0.07292850803754392,True
1,8,0.012352818448232843,0.0,0.012352818448232843,False
1,9,0.007524463115107824,0.0,0.007524463115107824,False
1,10,-0.016639599269985653,0.0,0.016639599269985653,True
1,11,-0.036337197967559964,0.0,0.036337197967559964,True
1,12,-0.04300659085478687,0.0,0.04300659085478687,True
1,13,-0.031140497417525212,0.0,0.031140497417525212,True
1,14,-0.3972405376861943,0.0,0.3972405376861943,True
1,15,-0.16739366004436818,0.0,0.16739366004436818,True
2,1,-0.03538920267942558,0.0,0.03538920267942558,True
2,2,-0.01937009879208161,0.0,0.01937009879208161,True
2,3,-15.646256831335476,0.0,15.646256831335476,True
2,4,-0.34059863886870356,0.0,0.34059863886870356,True
2,5,-0.17528012111678795,0.024951961586594407,0.17704722885641205,True
2,6,-0.17528012111678795,-0.024951961586594407,0.17704722885641205,True
2,7,-0.06829032703654157,0.0,0.06829032703654157,True
2,8,-0.013241902919611416,0.0,0.013241902919611416,True
2,9,-0.00022582928294095269,0.0,0.00022582928294095269,True
2,10,-0.002538793181774245,0.0,0.002538793181774245,True
2,11,-0.03677920712960673,0.0,0.03677920712960673,True
2,12,-0.0419423652969465,0.0,0.0419423652969465,True
2,13,-0.13505544460556962,0.0,0.13505544460556962,True
2,14,-0.01906326208001019,0.0,0.01906326208001019,True
2,15,-0.1703589547208395,0.0,0.1703589547208395,True
3,1,-0.12072525201745066,0.0,0.12072525201745066,True
3,2,-13.710052006195498,0.0,13.710052006195498,True
3,3,-0.6731144123967964,0.0,0.6731144123967964,True
3,4,-0.9945493313891063,0.0,0.9945493313891063,True
3,5,-0.07936221019247339,0.0,0.07936221019247339,True
3,6,-0.0023538033348850618,0.0,0.0023538033348850618,True
3,7,-0.010112606912406013,0.0,0.010112606912406013,True
3,8,-0.03777006409337697,0.006084704291536991,0.03825704337678557,True
3,9,-0.03777006409337697,-0.006084704291536991,0.03825704337678557,True
3,10,-0.024491461936172704,0.0,0.024491461936172704,True
3,11,-0.02749859163233342,0.0,0.02749859163233342,True
3,12,-0.04538549473916441,0.0,0.04538549473916441,True
3,13,-0.04276024049933426,0.0,0.04276024049933426,True
3,14,-0.12513512448464326,0.0,0.12513512448464326,True
3,15,-0.1563153828598729,0.0,0.1563153828598729,True
4,1,-0.13692910139084802,0.0,0.13692910139084802,True
4,2,-11.495906042905098,0.0,11.495906042905098,True
4,3,-0.5454393254327462,0.0,0.5454393254327462,True
4,4,-0.3842924719436694,0.0,0.3842924719436694,True
4,5,-0.11769449958696146,0.023744113483491435,0.12006572432689602,True
4,6,-0.11769449958696146,-0.023744113483491435,0.12006572432689602,True
4,7,-0.09754423235972377,0.0,0.09754423235972377,True
4,8,-0.06429424416058895,0.0,0.06429424416058895,True
4,9,0.0013897993928685592,0.0,0.0013897993928685592,False
4,10,-0.01603309219360554,0.0,0.01603309219360554,True
4,11,-0.03224008450695973,0.0,0.03224008450695973,True
4,12,-0.03573974824790169,0.0,0.03573974824790169,True
4,13,-0.023353313470009594,0.0,0.023353313470009594,True
4,14,-0.3693073513666434,0.0,0.3693073513666434,True
4,15,-0.2993206682511129,0.0,0.2993206682511129,True
5,1,-0.14123666125520629,0.0,0.14123666125520629,True
5,2,-14.529705686556476,0.0,14.529705686556476,True
5,3,-0.39171666695376034,0.0,0.39171666695376034,True
5,4,-0.2914792409111976,0.0,0.2914792409111976,True
5,5,-0.10076915758835751,0.0,0.10076915758835751,True
5,6,-0.05522059781897519,0.01916852821503564,0.05845294601143406,True
5,7,-0.05522059781897519,-0.01916852821503564,0.05845294601143406,True
5,8,-0.041629511980609636,0.0,0.041629511980609636,True
5,9,-0.04260059538795264,0.0,0.04260059538795264,True
5,10,-0.00312623851525062,0.0,0.00312623851525062,True
5,11,-0.016323262242834854,0.0,0.016323262242834854,True
5,12,-0.018444936273505734,0.0,0.018444936273505734,True
5,13,-0.01310943399886905,0.0,0.01310943399886905,True
5,14,-0.39073147495294336,0.0,0.39073147495294336,True
5,15,-0.08429896780626223,0.0,0.08429896780626223,True
6,1,-0.04106788242808079,0.0,0.04106788242808079,True
6,2,-0.008901997091944128,0.0,0.008901997091944128,True
6,3,-33.600267190301736,0.0,33.600267190301736,True
6,4,-0.3798346701261898,0.0,0.3798346701261898,True
6,5,-0.11277726155721024,0.018690083152883823,0.11431548422066506,True
6,6,-0.11277726155721024,-0.018690083152883823,0.11431548422066506,True
6,7,-0.06533216196747009,0.0,0.06533216196747009,True
6,8,-0.02333521947521969,0.0,0.02333521947521969,True
6,9,0.0017532514974325233,0.0,0.0017532514974325233,False
6,10,-0.0055985058669713985,0.0,0.0055985058669713985,True
6,11,-0.008872750507600159,0.0,0.008872750507600159,True
6,12,-0.04320391152524573,0.0,0.04320391152524573,True
6,13,-0.21999973743788703,0.0,0.21999973743788703,True
6,14,-0.01799654036904741,0.0,0.01799654036904741,True
